"","read_nai1","read_nai2","read_nai3","read_eff1","read_eff2","read_tem1","read_tem2","read_tcm1","read_tcm2"
"union_peak_200",1.1460421,0.808953929,0.910250732,0.282490885,0.135070557,0.210208575,0.253829293,0.457102245,0.406382117
"union_peak_214",0.1637203,0.145611707,0.076563146,4.49631326,4.788865197,2.699866384,2.446914387,1.39208411,1.312926838
"union_peak_228",2.16344682,2.232712845,2.058697917,0.094163628,0.184187123,0.052552144,0.162450748,0.228551123,0.197981031
"union_peak_236",1.391622549,1.852504498,1.565290978,0.894554471,1.141960162,0.367865006,0.416280041,1.19469905,1.010745264
"union_peak_237",1.344845321,1.407579837,1.480220816,1.294749892,1.092843596,0.302174826,0.253829293,1.205087737,1.469227652
"union_peak_245",1.789228992,1.537012466,1.4717138,0.247179525,0.184187123,0.118242323,0.263982465,0.176607686,0.156300814
"union_peak_247",2.198529742,1.585549702,1.863036545,0.317802246,0.135070557,0.039414108,0.071072202,0.332437996,0.29176152
"union_peak_252",0.8186015,0.938386558,0.706082343,0.211868164,0.110512274,0.072259198,0.06091903,0.186996373,0.135460706
"union_peak_255",2.128363899,1.229609973,0.944278797,0.294261339,0.208745406,0.328450898,0.335054667,1.018091364,1.208726295
"union_peak_258",0.783518578,0.752327154,0.969799845,0.058852268,0.085953991,0.091966252,0.111684889,0.28049456,0.281341465
"union_peak_262",6.958112747,5.460439023,5.572095601,2.742515679,2.996110534,1.944429318,1.604201133,3.282825215,3.136436335
